Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
Vilafranca del Penedès,2.95,-3.37,2.94,1.557 ,-,-,-,1.081 ,1.621 ,-,-,1.262 ,1.700 
Vilanova del Camí,-0.92,-4.51,-,1.106 ,-,-,-,984 ,1.465 ,-,-,995 ,-
Vilanova i la Geltrú,-0.93,0.61,-0.71,2.104 ,-,-,-,-,2.110 ,2.933 ,-,1.422 ,1.994 
Vilassar de Dalt,-3.23,-0.76,-0.60,2.133 ,-,-,-,-,-,-,-,-,1.979 
Barakaldo,0.92,1.46,5.37,2.471 ,-,2.836 ,-,1.293 ,2.292 ,3.420 ,-,-,3.080 
Berango,0.59,1.63,10.36,2.970 ,-,-,-,-,2.745 ,3.673 ,-,-,2.698 
Bilbao,2.38,2.42,1.29,3.174 ,1.764 ,3.007 ,-,1.255 ,2.385 ,3.972 ,-,-,3.653 
Galdakao,-1.14,2.50,1.73,2.466 ,-,-,-,-,2.298 ,3.222 ,-,-,2.124 
Getxo,-0.68,-4.01,-3.31,3.427 ,-,3.595 ,-,-,2.836 ,3.711 ,-,-,3.403 
Leioa,0.57,1.32,5.80,3.196 ,-,-,-,-,2.732 ,3.587 ,-,-,2.908 
Mungia,-3.96,-8.05,-1.16,2.022 ,-,-,-,-,2.311 ,-,-,-,1.959 
Portugalete,0.88,3.29,3.09,2.551 ,-,2.595 ,-,-,2.370 ,3.215 ,-,-,2.752 
Santurtzi,0.61,-2.07,-5.78,2.391 ,-,-,-,-,2.234 ,3.294 ,-,-,2.484 
Sestao,0.89,1.33,-0.49,2.042 ,-,-,-,-,2.014 ,-,-,-,-
Sopelana,0.50,-1.88,-0.80,3.007 ,-,-,-,-,2.775 ,3.412 ,-,-,2.516 
Valle de Trápaga-Trapagaran,-0.18,-1.92,2.38,2.116 ,-,-,-,-,2.078 ,3.221 ,-,-,-
Aranda de Duero,0.98,-0.38,-1.56,1.134 ,1.092 ,-,-,791 ,1.571 ,-,-,1.133 ,-
Burgos,0.40,0.61,-2.88,1.675 ,1.450 ,2.667 ,-,1.027 ,1.795 ,3.071 ,-,1.287 ,1.987 
Medina de Pomar,0.39,-,-,888 ,-,-,-,786 ,-,-,-,876 ,-
Cáceres,0.25,1.11,-1.18,1.230 ,1.208 ,-,-,912 ,1.485 ,-,-,1.112 ,1.613 
Coria,-3.34,-6.82,-,927 ,-,-,-,818 ,1.348 ,-,-,936 ,-
Plasencia,9.20,14.19,14.70,1.130 ,-,-,-,833 ,1.491 ,-,-,1.037 ,-
Algeciras,0.71,0.29,-1.80,1.065 ,1.138 ,-,-,799 ,1.449 ,-,593 ,1.048 ,1.381 
Arcos de la Frontera,-0.41,0.14,4.52,891 ,822 ,-,-,754 ,1.227 ,-,578 ,915 ,1.338 
Cádiz,1.27,5.57,8.02,2.488 ,-,3.005 ,-,-,2.219 ,2.990 ,-,1.594 ,2.635 
Chiclana de la Frontera,-1.24,-0.40,4.21,1.656 ,1.480 ,2.600 ,-,927 ,1.865 ,3.312 ,598 ,1.156 ,2.033 
